-517.68,-187.01,1.0
-517.68,-184.42,1.0
-517.68,-176.62,1.0
-517.68,-168.83,1.0
-520.52,-148.05,1.0
-520.52,-145.45,1.0
-520.52,-122.08,1.0
-520.52,-96.10,1.0
-523.35,-62.34,1.0
-523.35,-33.77,1.0
-523.35,0.00,1.0
-514.84,36.36,1.0
-509.16,67.53,1.0
-503.48,90.91,1.0
-494.97,119.48,1.0
-486.45,145.45,1.0
-475.10,174.03,1.0
-460.90,200.00,1.0
-443.87,223.38,1.0
-429.68,246.75,1.0
-409.81,262.34,1.0
-392.77,272.73,1.0
-367.23,277.92,1.0
-338.84,280.52,1.0
-333.16,283.12,1.0
-318.97,283.12,1.0
-279.23,275.32,1.0
-250.84,262.34,1.0
-236.65,249.35,1.0
-225.29,238.96,1.0
-205.42,215.58,1.0
-185.55,184.42,1.0
-174.19,155.84,1.0
-168.52,132.47,1.0
-162.84,103.90,1.0
-160.00,80.52,1.0
-160.00,62.34,1.0
-157.16,38.96,1.0
-151.48,10.39,1.0
-145.81,-15.58,1.0
-142.97,-46.75,1.0
-137.29,-67.53,1.0
-131.61,-77.92,1.0
-123.10,-98.70,1.0
-108.90,-122.08,1.0
-86.19,-142.86,1.0
-72.00,-153.25,1.0
-54.97,-155.84,1.0
-40.77,-158.44,1.0
-23.74,-158.44,1.0
-6.71,-155.84,1.0
13.16,-150.65,1.0
30.19,-140.26,1.0
50.06,-119.48,1.0
61.42,-101.30,1.0
72.77,-72.73,1.0
78.45,-49.35,1.0
81.29,-18.18,1.0
84.13,12.99,1.0
84.13,36.36,1.0
84.13,54.55,1.0
84.13,72.73,1.0
86.97,88.31,1.0
86.97,106.49,1.0
86.97,122.08,1.0
89.81,135.06,1.0
89.81,145.45,1.0
89.81,161.04,1.0
89.81,171.43,1.0
92.65,184.42,1.0
92.65,197.40,1.0
95.48,212.99,1.0
95.48,228.57,1.0
98.32,246.75,1.0
98.32,259.74,1.0
101.16,277.92,1.0
109.68,293.51,1.0
112.52,311.69,1.0
121.03,329.87,1.0
126.71,345.45,1.0
138.06,358.44,1.0
146.58,368.83,1.0
157.94,379.22,1.0
174.97,392.21,1.0
194.84,402.60,1.0
211.87,410.39,1.0
240.26,412.99,1.0
260.13,418.18,1.0
285.68,418.18,1.0
308.39,420.78,1.0
325.42,420.78,1.0
348.13,412.99,1.0
376.52,394.81,1.0
393.55,371.43,1.0
413.42,337.66,1.0
430.45,301.30,1.0
441.81,257.14,1.0
450.32,212.99,1.0
458.84,163.64,1.0
464.52,109.09,1.0
470.19,59.74,1.0
478.71,0.00,1.0
484.39,-49.35,1.0
484.39,-119.48,1.0
487.23,-184.42,1.0
492.90,-241.56,1.0
492.90,-296.10,1.0
495.74,-355.84,1.0
495.74,-425.97,1.0
495.74,-459.74,1.0
495.74,-464.94,1.0
495.74,-475.32,1.0
495.74,-490.91,1.0
495.74,-503.90,1.0
498.58,-514.29,1.0
498.58,-516.88,1.0
0.53,0.73,1.0
